"indicator","index.rate","target","points","max","percent.points","state.avg","school_id","year"
"Math Academic growth: Math Performance index: High Needs Students ","57.4% ","100% ",57.4,100,57.4,"57.4%","0040511","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.1% ","<=5% ",50,50,100,"9.6%","0040511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","10.8% ","<=5% ",38.4,50,76.8,"15.6%","0040511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0040511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0040511","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0040511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0040511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0040511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0040511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","81.0% | 78.3% ","75% ",25,50,50,"89.2% | 50.5%","0040511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0040511","201516"
"ELA: All Students ","81.5 ","75 ",100,100,100,"67.9","0045111","201415"
"ELA: High Needs Students ","64.5 ","75 ",86,100,86,"56.7","0045111","201415"
"Math: All Students ","77.1 ","75 ",100,100,100,"59.3","0045111","201415"
"Math: High Needs Students ","57.7 ","75 ",77,100,77,"47.8","0045111","201415"
"Science: All Students ","67.8 ","75 ",90.4,100,90.4,"56.5","0045111","201415"
"Science: High Needs Students ","52.7 ","75 ",70.2,100,70.2,"45.9","0045111","201415"
"Chronic absenteeism: All Students ","0.2% ","<=5% ",50,50,100,"10.6%","0045111","201415"
"Chronic absenteeism: High Needs Students ","0.0% ","<=5% ",50,50,100,"17.3%","0045111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0045111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0045111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","87.6% | 59.8% ","75% ",19.9,50,39.8,"87.6% | 51.0%","0045111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0045111","201415"
"Accountability Index ","","",693.5,800,86.7,"","0045111","201415"
"ELA Performance index: All Students ","82.0 ","75 ",50,50,100,"67.7","0045111","201516"
"ELA Performance index: High Needs Students ","62.1 ","75 ",41.4,50,82.9,"56.7","0045111","201516"
"Math Performance index: All Students ","80.2 ","75 ",50,50,100,"61.4","0045111","201516"
"Math Performance index: High Needs Students ","59.2 ","75 ",39.5,50,78.9,"49.9","0045111","201516"
"Science Performance index: All Students ","65.2 ","75 ",43.5,50,87,"57.5","0045111","201516"
"Science Performance index: High Needs Students ","50.9 ","75 ",33.9,50,67.8,"47.0","0045111","201516"
"ELA Academic growth: ELA Performance index: All Students ","70.0% ","100% ",70,100,70,"63.8%","0045111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","56.8% ","100% ",56.8,100,56.8,"58.3%","0045111","201516"
"Math Academic growth: Math Performance index: All Students ","81.4% ","100% ",81.4,100,81.4,"65.0%","0045111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","61.4% ","100% ",61.4,100,61.4,"57.4%","0045111","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.3% ","<=5% ",50,50,100,"9.6%","0045111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.0% ","<=5% ",43.9,50,87.8,"15.6%","0045111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0045111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0045111","201516"
"On-track to High School Graduation ","97.9% ","94% ",50,50,100,"85.1%","0045111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0045111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0045111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0045111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.2% | 51.2% ","75% ",34.1,50,68.2,"89.2% | 50.5%","0045111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0045111","201516"
"ELA: All Students ","75.1 ","75 ",100,100,100,"67.9","0046111","201415"
"ELA: High Needs Students ","48.2 ","75 ",64.2,100,64.2,"56.7","0046111","201415"
"Math: All Students ","69.9 ","75 ",93.3,100,93.3,"59.3","0046111","201415"
"Math: High Needs Students ","44.7 ","75 ",59.6,100,59.6,"47.8","0046111","201415"
"Science: All Students ","73.4 ","75 ",97.9,100,97.9,"56.5","0046111","201415"
"Science: High Needs Students ","55.4 ","75 ",73.9,100,73.9,"45.9","0046111","201415"
"Chronic absenteeism: All Students ","4.7% ","<=5% ",50,50,100,"10.6%","0046111","201415"
"Chronic absenteeism: High Needs Students ","14.7% ","<=5% ",30.6,50,61.3,"17.3%","0046111","201415"
"Prep for CCR: % Taking Courses ","45.3% ","75% ",30.2,50,60.4,"66.1%","0046111","201415"
"Prep for CCR: % Passing Exams ","71.0% ","75% ",47.3,50,94.7,"37.3%","0046111","201415"
"Postsecondary Entrance (Class of 2014) ","88.2% ","75% ",100,100,100,"72.8%","0046111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 46.5% ","75% ",31,50,62,"87.6% | 51.0%","0046111","201415"
"Arts Access ","64.9% ","60% ",50,50,100,"45.7%","0046111","201415"
"Accountability Index ","","",1077.2,1250,86.2,"","0046111","201415"
"ELA: High Needs Students ","60.1 ","75 ",80.1,100,80.1,"56.7","0046111","201516"
"ELA: All Students ","73.5 ","75 ",98,100,98,"61.4","0046111","201516"
"Math: High Needs Students ","54.0 ","75 ",71.9,100,71.9,"49.9","0046111","201516"
"Math: All Students ","69.6 ","75 ",92.8,100,92.8,"57.5","0046111","201516"
"Science: High Needs Students ","52.5 ","75 ",70,100,70,"47.0","0046111","201516"
"Science: All Students ","N/A ","100% ",0,0,0,"63.8%","0046111","201516"
"Chronic absenteeism: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0046111","201516"
"Chronic absenteeism: All Students ","N/A ","100% ",0,0,0,"65.0%","0046111","201516"
"Prep for CCR: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0046111","201516"
"Prep for CCR: All Students ","5.2% ","<=5% ",49.5,50,99,"9.6%","0046111","201516"
"On-track to High School Graduation ","97.3% ","94% ",50,50,100,"85.1%","0046111","201516"
"4-year Graduation All Students (2015 Cohort) ","96.3% ","94% ",100,100,100,"87.2%","0046111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","97.7% ","94% ",100,100,100,"78.6%","0046111","201516"
"Postsecondary Entrance (Class of 2015) ","85.8% ","75% ",100,100,100,"71.9%","0046111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","95.1% | 52.0% ","75% ",34.7,50,69.4,"89.2% | 50.5%","0046111","201516"
"ELA: All Students ","75.1 ","75 ",100,100,100,"67.9","0050111","201415"
"ELA: High Needs Students ","62.0 ","75 ",82.7,100,82.7,"56.7","0050111","201415"
"Math: All Students ","62.2 ","75 ",82.9,100,82.9,"59.3","0050111","201415"
"Math: High Needs Students ","47.1 ","75 ",62.8,100,62.8,"47.8","0050111","201415"
"Science: All Students ","60.4 ","75 ",80.6,100,80.6,"56.5","0050111","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0050111","201415"
"Chronic absenteeism: All Students ","2.0% ","<=5% ",50,50,100,"10.6%","0050111","201415"
"Chronic absenteeism: High Needs Students ","4.9% ","<=5% ",50,50,100,"17.3%","0050111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0050111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0050111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.2% | 45.4% ","75% ",30.2,50,60.5,"87.6% | 51.0%","0050111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0050111","201415"
"Accountability Index ","","",539.2,650,83,"","0050111","201415"
"ELA Performance index: All Students ","75.9 ","75 ",50,50,100,"67.7","0050111","201516"
"ELA Performance index: High Needs Students ","64.8 ","75 ",43.2,50,86.3,"56.7","0050111","201516"
"Math Performance index: All Students ","62.2 ","75 ",41.4,50,82.9,"61.4","0050111","201516"
"Math Performance index: High Needs Students ","48.5 ","75 ",32.3,50,64.7,"49.9","0050111","201516"
"Science Performance index: All Students ","62.5 ","75 ",41.7,50,83.3,"57.5","0050111","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0050111","201516"
"ELA Academic growth: ELA Performance index: All Students ","69.6% ","100% ",69.6,100,69.6,"63.8%","0050111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","63.5% ","100% ",63.5,100,63.5,"58.3%","0050111","201516"
"Math Academic growth: Math Performance index: All Students ","66.2% ","100% ",66.2,100,66.2,"65.0%","0050111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","52.8% ","100% ",52.8,100,52.8,"57.4%","0050111","201516"
"Chronic absenteeism: Science Performance index: All Students ","4.3% ","<=5% ",50,50,100,"9.6%","0050111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","10.5% ","<=5% ",38.9,50,77.9,"15.6%","0050111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0050111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0050111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0050111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0050111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0050111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0050111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 49.5% ","75% ",33,50,66,"89.2% | 50.5%","0050111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0050111","201516"
"ELA: All Students ","72.0 ","75 ",96.1,100,96.1,"67.9","0070111","201415"
"ELA: High Needs Students ","59.5 ","75 ",79.3,100,79.3,"56.7","0070111","201415"
"Math: All Students ","63.8 ","75 ",85,100,85,"59.3","0070111","201415"
"Math: High Needs Students ","52.4 ","75 ",69.9,100,69.9,"47.8","0070111","201415"
"Science: All Students ","59.1 ","75 ",78.7,100,78.7,"56.5","0070111","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0070111","201415"
"Chronic absenteeism: All Students ","2.6% ","<=5% ",50,50,100,"10.6%","0070111","201415"
"Chronic absenteeism: High Needs Students ","7.2% ","<=5% ",45.5,50,91,"17.3%","0070111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0070111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0070111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.2% | 69.1% ","75% ",46.1,50,92.1,"87.6% | 51.0%","0070111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0070111","201415"
"Accountability Index ","","",550.5,650,84.7,"","0070111","201415"
"ELA Performance index: All Students ","77.1 ","75 ",50,50,100,"67.7","0070111","201516"
"ELA Performance index: High Needs Students ","61.3 ","75 ",40.9,50,81.7,"56.7","0070111","201516"
"Math Performance index: All Students ","71.5 ","75 ",47.7,50,95.4,"61.4","0070111","201516"
"Math Performance index: High Needs Students ","59.5 ","75 ",39.6,50,79.3,"49.9","0070111","201516"
"Science Performance index: All Students ","60.4 ","75 ",40.2,50,80.5,"57.5","0070111","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0070111","201516"
"ELA Academic growth: ELA Performance index: All Students ","83.3% ","100% ",83.3,100,83.3,"63.8%","0070111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","72.3% ","100% ",72.3,100,72.3,"58.3%","0070111","201516"
"Math Academic growth: Math Performance index: All Students ","87.0% ","100% ",87,100,87,"65.0%","0070111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","88.3% ","100% ",88.3,100,88.3,"57.4%","0070111","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.5% ","<=5% ",50,50,100,"9.6%","0070111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","5.0% ","<=5% ",50,50,100,"15.6%","0070111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0070111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0070111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0070111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0070111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0070111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0070111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 71.4% ","75% ",47.6,50,95.2,"89.2% | 50.5%","0070111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0070111","201516"
"ELA: All Students ","75.0 ","75 ",100,100,100,"67.9","0070411","201415"
"ELA: High Needs Students ","64.4 ","75 ",85.9,100,85.9,"56.7","0070411","201415"
"Math: All Students ","70.2 ","75 ",93.5,100,93.5,"59.3","0070411","201415"
"Math: High Needs Students ","59.9 ","75 ",79.9,100,79.9,"47.8","0070411","201415"
"Science: All Students ","60.1 ","75 ",80.1,100,80.1,"56.5","0070411","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0070411","201415"
"Chronic absenteeism: All Students ","2.0% ","<=5% ",50,50,100,"10.6%","0070411","201415"
"Chronic absenteeism: High Needs Students ","3.9% ","<=5% ",50,50,100,"17.3%","0070411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0070411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0070411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 74.1% ","75% ",49.4,50,98.8,"87.6% | 51.0%","0070411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0070411","201415"
"Accountability Index ","","",588.8,650,90.6,"","0070411","201415"
"ELA Performance index: All Students ","75.9 ","75 ",50,50,100,"67.7","0070411","201516"
"ELA Performance index: High Needs Students ","64.4 ","75 ",42.9,50,85.8,"56.7","0070411","201516"
"Math Performance index: All Students ","72.4 ","75 ",48.3,50,96.5,"61.4","0070411","201516"
"Math Performance index: High Needs Students ","58.8 ","75 ",39.2,50,78.4,"49.9","0070411","201516"
"Science Performance index: All Students ","64.5 ","75 ",43,50,86,"57.5","0070411","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0070411","201516"
"ELA Academic growth: ELA Performance index: All Students ","80.4% ","100% ",80.4,100,80.4,"63.8%","0070411","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","75.3% ","100% ",75.3,100,75.3,"58.3%","0070411","201516"
"Math Academic growth: Math Performance index: All Students ","70.7% ","100% ",70.7,100,70.7,"65.0%","0070411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","57.7% ","100% ",57.7,100,57.7,"57.4%","0070411","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.4% ","<=5% ",50,50,100,"9.6%","0070411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.1% ","<=5% ",43.7,50,87.4,"15.6%","0070411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0070411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0070411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0070411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0070411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0070411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0070411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 69.5% ","75% ",46.3,50,92.7,"89.2% | 50.5%","0070411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0070411","201516"
"ELA: All Students ","72.7 ","75 ",97,100,97,"67.9","0070511","201415"
"ELA: High Needs Students ","58.5 ","75 ",78.1,100,78.1,"56.7","0070511","201415"
"Math: All Students ","66.5 ","75 ",88.7,100,88.7,"59.3","0070511","201415"
"Math: High Needs Students ","53.6 ","75 ",71.5,100,71.5,"47.8","0070511","201415"
"Science: All Students ","59.7 ","75 ",79.6,100,79.6,"56.5","0070511","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0070511","201415"
"Chronic absenteeism: All Students ","1.7% ","<=5% ",50,50,100,"10.6%","0070511","201415"
"Chronic absenteeism: High Needs Students ","5.3% ","<=5% ",49.4,50,98.7,"17.3%","0070511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0070511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0070511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","93.6% | 76.5% ","75% ",50,50,100,"87.6% | 51.0%","0070511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0070511","201415"
"Accountability Index ","","",564.2,650,86.8,"","0070511","201415"
"ELA Performance index: All Students ","75.8 ","75 ",50,50,100,"67.7","0070511","201516"
"ELA Performance index: High Needs Students ","65.2 ","75 ",43.5,50,87,"56.7","0070511","201516"
"Math Performance index: All Students ","70.5 ","75 ",47,50,94,"61.4","0070511","201516"
