"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_id","year"
"School ","231","75.1 ","229","69.9 ","254 ","73.4","0046111","201415"
"Asian ","23 ","84.3 ","23 ","89.4 ","36 ","72.4","0046111","201516"
"Black or African American ","10 ","* ","10 ","* ","12 ","*","0046111","201516"
"Hispanic or Latino ","18 ","* ","18 ","* ","14 ","*","0046111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0046111","201516"
"Two or More Races ","* ","* ","* ","* ","17 ","*","0046111","201516"
"White ","186 ","75.1 ","186 ","73.4 ","202 ","71.3","0046111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0046111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0046111","201516"
"Eligible for Free or Reduced-Price Meals ","12 ","* ","12 ","* ","15 ","*","0046111","201516"
"Not Eligible for Free or Reduced-Price Meals ","231 ","75.8 ","231 ","75.0 ","267 ","70.6","0046111","201516"
"Students with Disabilities ","27 ","62.5 ","27 ","54.1 ","30 ","51.1","0046111","201516"
"Students without Disabilities ","216 ","76.0 ","216 ","75.9 ","252 ","71.8","0046111","201516"
"High Needs ","37 ","60.1 ","37 ","54.0 ","46 ","52.5","0046111","201516"
"Non-High Needs ","206 ","77.1 ","206 ","77.0 ","236 ","73.0","0046111","201516"
"School ","243 ","74.5 ","243 ","73.5 ","282 ","69.6","0046111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0050111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0050111","201415"
"Black or African American ","* ","* ","* ","* ","0 ","*","0050111","201415"
"Hispanic or Latino ","* ","* ","* ","* ","0 ","*","0050111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0050111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0050111","201415"
"White ","188 ","75.2 ","187 ","62.5 ","44 ","59.6","0050111","201415"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0050111","201415"
"Non-English Language Learners ","194 ","75.1 ","193 ","62.2 ","46 ","60.4","0050111","201415"
"Eligible for Free or Reduced-Price Meals ","18 ","* ","18 ","* ","* ","*","0050111","201415"
"Not Eligible for Free or Reduced-Price Meals ","176 ","76.2 ","175 ","63.6 ","* ","*","0050111","201415"
"Students with Disabilities ","39 ","59.4 ","39 ","45.1 ","9 ","*","0050111","201415"
"Students without Disabilities ","155 ","79.0 ","154 ","66.5 ","37 ","63.9","0050111","201415"
"High Needs ","48 ","62.0 ","48 ","47.1 ","11 ","*","0050111","201415"
"Non-High Needs ","146 ","79.4 ","145 ","67.2 ","35 ","63.8","0050111","201415"
"School ","194 ","75.1 ","193 ","62.2 ","46 ","60.4","0050111","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0050111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","0050111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","0 ","N/A","0050111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0050111","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0050111","201516"
"White ","160 ","75.9 ","160 ","62.1 ","45 ","62.5","0050111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0050111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","45 ","62.5","0050111","201516"
"Eligible for Free or Reduced-Price Meals ","17 ","* ","17 ","* ","* ","*","0050111","201516"
"Not Eligible for Free or Reduced-Price Meals ","148 ","77.0 ","148 ","63.9 ","* ","*","0050111","201516"
"Students with Disabilities ","33 ","62.2 ","33 ","46.7 ","11 ","*","0050111","201516"
"Students without Disabilities ","132 ","79.3 ","132 ","66.0 ","34 ","66.4","0050111","201516"
"High Needs ","43 ","64.8 ","43 ","48.5 ","12 ","*","0050111","201516"
"Non-High Needs ","122 ","79.8 ","122 ","67.0 ","33 ","67.2","0050111","201516"
"School ","165 ","75.9 ","165 ","62.2 ","45 ","62.5","0050111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070111","201415"
"Asian ","* ","* ","* ","* ","0 ","*","0070111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0070111","201415"
"Hispanic or Latino ","16 ","* ","16 ","* ","* ","*","0070111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0070111","201415"
"White ","104 ","73.5 ","104 ","65.1 ","30 ","59.4","0070111","201415"
"English Language Learners ","11 ","* ","11 ","* ","* ","*","0070111","201415"
"Non-English Language Learners ","115 ","72.5 ","115 ","64.5 ","* ","*","0070111","201415"
"Eligible for Free or Reduced-Price Meals ","19 ","* ","19 ","* ","8 ","*","0070111","201415"
"Not Eligible for Free or Reduced-Price Meals ","107 ","74.6 ","107 ","66.1 ","27 ","61.5","0070111","201415"
"Students with Disabilities ","21 ","52.6 ","21 ","47.1 ","* ","*","0070111","201415"
"Students without Disabilities ","105 ","75.9 ","105 ","67.1 ","* ","*","0070111","201415"
"High Needs ","41 ","59.5 ","41 ","52.4 ","13 ","*","0070111","201415"
"Non-High Needs ","85 ","78.1 ","85 ","69.2 ","22 ","60.6","0070111","201415"
"School ","126 ","72.0 ","126 ","63.8 ","35 ","59.1","0070111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0070111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","0070111","201516"
"Hispanic or Latino ","18 ","* ","18 ","* ","9 ","*","0070111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0070111","201516"
"White ","102 ","79.5 ","101 ","73.7 ","44 ","63.5","0070111","201516"
"English Language Learners ","10 ","* ","10 ","* ","* ","*","0070111","201516"
"Non-English Language Learners ","118 ","78.2 ","117 ","72.1 ","* ","*","0070111","201516"
"Eligible for Free or Reduced-Price Meals ","18 ","* ","18 ","* ","9 ","*","0070111","201516"
"Not Eligible for Free or Reduced-Price Meals ","110 ","80.3 ","109 ","74.2 ","46 ","63.8","0070111","201516"
"Students with Disabilities ","23 ","56.3 ","22 ","53.9 ","11 ","*","0070111","201516"
"Students without Disabilities ","105 ","81.6 ","105 ","75.2 ","44 ","63.0","0070111","201516"
"High Needs ","37 ","61.3 ","36 ","59.5 ","14 ","*","0070111","201516"
"Non-High Needs ","91 ","83.5 ","91 ","76.3 ","41 ","64.4","0070111","201516"
"School ","128 ","77.1 ","127 ","71.5 ","55 ","60.4","0070111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070411","201415"
"Asian ","10 ","* ","10 ","* ","* ","*","0070411","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0070411","201415"
"Hispanic or Latino ","23 ","69.8 ","23 ","62.6 ","8 ","*","0070411","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","* ","0 ","* ","0 ","*","0070411","201415"
"Two or More Races ","9 ","* ","9 ","* ","6 ","*","0070411","201415"
"White ","178 ","75.0 ","178 ","71.2 ","65 ","60.6","0070411","201415"
"English Language Learners ","17 ","* ","17 ","* ","* ","*","0070411","201415"
"Non-English Language Learners ","206 ","75.3 ","206 ","70.5 ","* ","*","0070411","201415"
"Eligible for Free or Reduced-Price Meals ","36 ","65.9 ","36 ","59.8 ","13 ","*","0070411","201415"
"Not Eligible for Free or Reduced-Price Meals ","187 ","76.8 ","187 ","72.1 ","72 ","61.3","0070411","201415"
"Students with Disabilities ","24 ","52.8 ","24 ","54.9 ","* ","*","0070411","201415"
"Students without Disabilities ","199 ","77.7 ","199 ","72.0 ","* ","*","0070411","201415"
"High Needs ","62 ","64.4 ","62 ","59.9 ","17 ","*","0070411","201415"
"Non-High Needs ","161 ","79.1 ","161 ","74.1 ","68 ","62.3","0070411","201415"
"School ","223 ","75.0 ","223 ","70.2 ","85 ","60.1","0070411","201415"
"Asian ","11 ","* ","11 ","* ","* ","*","0070411","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","0070411","201516"
"Hispanic or Latino ","26 ","73.8 ","26 ","60.2 ","* ","*","0070411","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070411","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0070411","201516"
"White ","179 ","75.7 ","179 ","73.3 ","73 ","65.3","0070411","201516"
"English Language Learners ","16 ","* ","16 ","* ","* ","*","0070411","201516"
"Non-English Language Learners ","205 ","77.0 ","205 ","73.1 ","* ","*","0070411","201516"
"Eligible for Free or Reduced-Price Meals ","28 ","68.8 ","28 ","62.7 ","9 ","*","0070411","201516"
"Not Eligible for Free or Reduced-Price Meals ","193 ","77.0 ","193 ","73.8 ","74 ","65.6","0070411","201516"
"Students with Disabilities ","29 ","58.2 ","29 ","50.1 ","7 ","*","0070411","201516"
"Students without Disabilities ","192 ","78.6 ","192 ","75.7 ","76 ","66.8","0070411","201516"
"High Needs ","62 ","64.4 ","62 ","58.8 ","16 ","*","0070411","201516"
"Non-High Needs ","159 ","80.4 ","159 ","77.7 ","67 ","67.8","0070411","201516"
"School ","221 ","75.9 ","221 ","72.4 ","83 ","64.5","0070411","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0070511","201415"
"Asian ","* ","* ","* ","* ","* ","*","0070511","201415"
"Black or African American ","* ","* ","* ","* ","0 ","*","0070511","201415"
"Hispanic or Latino ","20 ","64.2 ","20 ","55.4 ","6 ","*","0070511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070511","201415"
"Two or More Races ","12 ","* ","12 ","* ","6 ","*","0070511","201415"
"White ","255 ","73.6 ","255 ","67.5 ","87 ","60.2","0070511","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0070511","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0070511","201415"
"Eligible for Free or Reduced-Price Meals ","30 ","60.0 ","30 ","54.7 ","9 ","*","0070511","201415"
"Not Eligible for Free or Reduced-Price Meals ","265 ","74.2 ","265 ","67.8 ","92 ","60.9","0070511","201415"
"Students with Disabilities ","35 ","52.7 ","35 ","49.4 ","10 ","*","0070511","201415"
"Students without Disabilities ","260 ","75.4 ","260 ","68.8 ","91 ","61.4","0070511","201415"
"High Needs ","55 ","58.5 ","55 ","53.6 ","16 ","*","0070511","201415"
"Non-High Needs ","240 ","76.0 ","240 ","69.4 ","85 ","61.9","0070511","201415"
"School ","295 ","72.7 ","295 ","66.5 ","101 ","59.7","0070511","201415"
"Asian ","* ","* ","* ","* ","* ","*","0070511","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0070511","201516"
"Hispanic or Latino ","23 ","66.0 ","22 ","62.3 ","7 ","*","0070511","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0070511","201516"
"Two or More Races ","8 ","* ","8 ","* ","* ","*","0070511","201516"
"White ","239 ","76.8 ","238 ","71.2 ","96 ","61.2","0070511","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0070511","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0070511","201516"
"Eligible for Free or Reduced-Price Meals ","26 ","66.6 ","26 ","60.4 ","14 ","*","0070511","201516"
"Not Eligible for Free or Reduced-Price Meals ","253 ","76.7 ","251 ","71.5 ","94 ","61.7","0070511","201516"
"Students with Disabilities ","39 ","61.7 ","39 ","56.1 ","13 ","*","0070511","201516"
"Students without Disabilities ","240 ","78.1 ","238 ","72.8 ","95 ","63.2","0070511","201516"
"High Needs ","59 ","65.2 ","59 ","58.9 ","23 ","51.5","0070511","201516"
"Non-High Needs ","220 ","78.6 ","218 ","73.6 ","85 ","63.6","0070511","201516"
"School ","279 ","75.8 ","277 ","70.5 ","108 ","61.1","0070511","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0075111","201415"
"Asian ","23","77.2 ","23","72.0 ","9 ","*","0075111","201415"
"Black or African American ","17","* ","17","* ","* ","*","0075111","201415"
"Hispanic or Latino ","63","61.1 ","63","52.4 ","27 ","54.8","0075111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0075111","201415"
"Two or More Races ","14","* ","13","* ","* ","*","0075111","201415"
"White ","580","73.7 ","579","65.5 ","197 ","66.7","0075111","201415"
"English Language Learners ","10","* ","10","* ","* ","*","0075111","201415"
"Non-English Language Learners ","687","72.5 ","685","64.2 ","* ","*","0075111","201415"
"Eligible for Free or Reduced-Price Meals ","93","59.5 ","93","48.1 ","39 ","52.4","0075111","201415"
"Not Eligible for Free or Reduced-Price Meals ","604","74.1 ","602","66.4 ","203 ","67.5","0075111","201415"
"Students with Disabilities ","81","47.0 ","80","37.0 ","25 ","46.0","0075111","201415"
"Students without Disabilities ","616","75.5 ","615","67.5 ","217 ","67.2","0075111","201415"
"High Needs ","155","56.0 ","154","46.5 ","54 ","52.2","0075111","201415"
"Non-High Needs ","542","76.8 ","541","68.9 ","188 ","68.7","0075111","201415"
"School ","697","72.2 ","695","64.0 ","242 ","65.1","0075111","201415"
"Asian ","21","72.6 ","21","68.4 ","* ","*","0075111","201516"
"Black or African American ","9","* ","9","* ","6 ","*","0075111","201516"
"Hispanic or Latino ","57","61.0 ","57","49.5 ","22 ","55.7","0075111","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0075111","201516"
"Two or More Races ","25","77.0 ","25","68.6 ","* ","*","0075111","201516"
"White ","555","75.4 ","554","65.9 ","174 ","64.1","0075111","201516"
"English Language Learners ","15","* ","15","* ","* ","*","0075111","201516"
"Non-English Language Learners ","652","74.3 ","651","64.8 ","* ","*","0075111","201516"
"Eligible for Free or Reduced-Price Meals ","83","59.7 ","83","47.9 ","31 ","51.5","0075111","201516"
"Not Eligible for Free or Reduced-Price Meals ","584","75.8 ","583","66.8 ","182 ","65.0","0075111","201516"
"Students with Disabilities ","78","50.4 ","77","37.7 ","30 ","46.6","0075111","201516"
"Students without Disabilities ","589","76.9 ","589","67.9 ","183 ","65.8","0075111","201516"
"High Needs ","147","56.7 ","146","45.9 ","55 ","50.3","0075111","201516"
"Non-High Needs ","520","78.6 ","520","69.6 ","158 ","67.5","0075111","201516"
"School ","667","73.8 ","666","64.4 ","213 ","63.1","0075111","201516"
"American Indian or Alaska Native ","0 ","* ","0 ","* ","* ","*","0076111","201415"
"Asian ","7 ","* ","7 ","* ","8 ","*","0076111","201415"
"Black or African American ","7 ","* ","7 ","* ","10 ","*","0076111","201415"
"Hispanic or Latino ","12 ","* ","12 ","* ","13 ","*","0076111","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","0076111","201415"
"Two or More Races ","7 ","* ","7 ","* ","7 ","*","0076111","201415"
"White ","202 ","48.6 ","202 ","56.8 ","193 ","63.8","0076111","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","0076111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","232 ","62.6","0076111","201415"
"Eligible for Free or Reduced-Price Meals ","32 ","30.0 ","31 ","39.9 ","35 ","53.8","0076111","201415"
"Not Eligible for Free or Reduced-Price Meals ","204 ","50.4 ","205 ","58.4 ","197 ","64.2","0076111","201415"
"Students with Disabilities ","23 ","32.1 ","22 ","32.7 ","28 ","43.8","0076111","201415"
"Students without Disabilities ","213 ","49.3 ","214 ","58.3 ","204 ","65.2","0076111","201415"
"High Needs ","50 ","33.4 ","49 ","39.6 ","52 ","51.3","0076111","201415"
"Non-High Needs ","186 ","51.5 ","187 ","60.2 ","180 ","65.9","0076111","201415"
"School ","236 ","47.6 ","236 ","55.9 ","232 ","62.6","0076111","201415"
"Asian ","9 ","* ","9 ","* ","7 ","*","0076111","201516"
"Black or African American ","9 ","* ","9 ","* ","* ","*","0076111","201516"
"Hispanic or Latino ","8 ","* ","8 ","* ","16 ","*","0076111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0076111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0076111","201516"
"White ","194 ","61.8 ","194 ","60.2 ","177 ","64.5","0076111","201516"
"English Language Learners ","0 ","N/A ","0 ","N/A ","* ","*","0076111","201516"
"Non-English Language Learners ","229 ","61.5 ","229 ","59.8 ","* ","*","0076111","201516"
"Eligible for Free or Reduced-Price Meals ","27 ","58.9 ","27 ","55.3 ","33 ","54.4","0076111","201516"
"Not Eligible for Free or Reduced-Price Meals ","202 ","61.8 ","202 ","60.4 ","177 ","64.3","0076111","201516"
"Students with Disabilities ","24 ","49.1 ","24 ","38.5 ","28 ","43.4","0076111","201516"
"Students without Disabilities ","205 ","62.9 ","205 ","62.3 ","182 ","65.8","0076111","201516"
"High Needs ","44 ","54.3 ","44 ","48.1 ","52 ","50.4","0076111","201516"
"Non-High Needs ","185 ","63.2 ","185 ","62.6 ","158 ","66.8","0076111","201516"
"School ","229 ","61.5 ","229 ","59.8 ","210 ","62.8","0076111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0080111","201415"
"Asian ","21 ","89.1 ","21 ","87.3 ","* ","*","0080111","201415"
"Black or African American ","* ","* ","* ","* ","0 ","*","0080111","201415"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","0080111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0080111","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0080111","201415"
"White ","200 ","74.7 ","200 ","69.4 ","57 ","56.7","0080111","201415"
"English Language Learners ","0 ","* ","0 ","* ","0 ","*","0080111","201415"
"Non-English Language Learners ","231 ","75.8 ","231 ","70.6 ","61 ","57.3","0080111","201415"
"Eligible for Free or Reduced-Price Meals ","15 ","* ","15 ","* ","* ","*","0080111","201415"
"Not Eligible for Free or Reduced-Price Meals ","216 ","76.9 ","216 ","71.7 ","* ","*","0080111","201415"
"Students with Disabilities ","37 ","52.7 ","37 ","49.6 ","12 ","*","0080111","201415"
"Students without Disabilities ","194 ","80.3 ","194 ","74.6 ","49 ","59.0","0080111","201415"
"High Needs ","46 ","55.2 ","46 ","51.7 ","15 ","*","0080111","201415"
"Non-High Needs ","185 ","81.0 ","185 ","75.3 ","46 ","59.6","0080111","201415"
"School ","231 ","75.8 ","231 ","70.6 ","61 ","57.3","0080111","201415"
"Asian ","25 ","88.3 ","25 ","87.3 ","10 ","*","0080111","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0080111","201516"
"Hispanic or Latino ","8 ","* ","8 ","* ","* ","*","0080111","201516"
