"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,="Bethel Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.1,3.1,3.1,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.4,4.4,5.0,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",44.5,44.5,46.5,45.5,41.6
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.6,16.6,16.6,16.6,16.6
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,7.0,7.0,10.0
,,="Special Education - Teachers and Instructors",="Certified",8.2,8.2,8.2,8.2,10.2
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,.,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Frank A. Berry School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.2,2.2,1.4,1.9,1.9
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,4.0,5.0
,,="General Education - Teachers and Instructors",="Certified",26.4,27.4,27.4,29.4,28.4
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.6,8.6,8.6,8.6,8.6
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,11.0,9.0,11.0
,,="Special Education - Teachers and Instructors",="Certified",8.0,9.0,9.0,10.0,10.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.5,4.0,4.0,4.0,4.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,.,.,.,1.0
,="Ralph M. T. Johnson School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.9,1.9,1.7,2.2,2.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",27.8,26.8,26.8,24.8,24.8
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.6,7.6,7.6,7.6,7.6
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,7.0,7.0,6.0,2.0
,,="Special Education - Teachers and Instructors",="Certified",5.8,5.8,5.8,5.8,3.8
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,1.9,1.9,1.9,1.8
,,="Library/Media - Specialists (Certified)",="Certified",.,1.0,1.0,1.0,.
"Bloomfield School District","Bloomfield High School","Administrators  Coordinators and Department Chairs - School Level","Certified",4.2,5.2,4.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",8.3,8.8,7.0,6.0,5.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,6.0,3.0,4.0,4.0
,,="General Education - Teachers and Instructors",="Certified",50.4,52.9,50.5,51.7,51.6
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.0,25.8,20.3,24.3,23.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.0,7.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",9.3,9.3,6.4,6.0,6.8
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,1.5,2.4,3.4,2.7
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Carmen Arace Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,2.0,1.5,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.5,3.0,2.5,2.8,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.0,4.0,4.0,4.5
,,="General Education - Teachers and Instructors",="Certified",23.4,23.5,21.3,20.3,17.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.5,13.3,12.3,12.0,11.8
,,="School Nurses",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,4.0,5.0,4.0,4.0
,,="Special Education - Teachers and Instructors",="Certified",3.5,3.0,2.0,2.0,3.1
,,="Instructional Specialists Who Support Teachers",="Certified",2.8,2.8,2.7,2.7,3.4
,="Carmen Arace Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.5,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,3.0,4.5,3.0,2.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,5.5,3.0,4.0,4.5
,,="General Education - Teachers and Instructors",="Certified",24.9,23.2,25.0,24.0,22.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.5,13.3,12.3,13.3,12.3
,,="School Nurses",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,5.0,6.0,4.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",3.5,4.0,4.0,4.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.5,1.5,1.4
,="J. P. Vincent School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.2,1.2,.,.,.
,,"Counselors  Social Workers  and School Psychologists","Certified",1.5,.,.,.,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",8.0,8.0,.,.,.
,,"General Education - Teachers and Instructors","Certified",29.0,28.8,.,.,.
,,"Library/Media - Support Staff","Non-Certified",1.0,1.0,.,.,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",9.3,9.3,.,.,.
,,"School Nurses","Non-Certified",1.0,1.0,.,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",3.0,1.0,.,.,.
,,"Special Education - Teachers and Instructors","Certified",3.0,3.0,.,.,.
,,"Instructional Specialists Who Support Teachers","Certified",2.0,2.0,.,.,.
,"Laurel School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.3,.,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,.,1.0,2.0,2.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,.,4.0,5.0,5.0
,,="General Education - Teachers and Instructors",="Certified",21.1,.,28.3,27.9,27.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,.,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.0,.,9.3,9.3,9.3
,,="School Nurses",="Non-Certified",1.0,.,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,.,3.0,5.0,7.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,.,2.0,3.0,2.1
,,="Instructional Specialists Who Support Teachers",="Certified",2.7,0.5,1.3,2.0,1.5
,="The Big Picture High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,.,.,.
,,"Counselors  Social Workers  and School Psychologists","Certified",2.0,1.5,.,.,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,.,.,.
,,"General Education - Teachers and Instructors","Certified",7.0,8.3,.,.,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,.,.,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",4.1,3.8,.,.,.
,,"School Nurses","Non-Certified",0.5,0.5,.,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,.,.,.
,,"Special Education - Teachers and Instructors","Certified",0.7,0.7,.,.,.
,"Wintonbury Early Childhood Magnet School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.3,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,15.0,16.0,16.0,19.0
,,="General Education - Teachers and Instructors",="Certified",21.0,20.6,20.5,19.4,18.9
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.3,8.8,5.8,5.8,6.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,7.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.6,3.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,1.3,1.5,2.0,2.0
,="Metacomet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,1.0,1.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,5.0,3.0,4.0,5.0
,,="General Education - Teachers and Instructors",="Certified",.,19.8,20.6,20.6,16.0
,,="Library/Media - Support Staff",="Non-Certified",.,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,6.0,6.0,6.0,6.0
,,="School Nurses",="Non-Certified",.,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,4.0,3.0,3.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",.,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,1.7,2.7,2.0,2.8
,="Global Experience Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,3.2,3.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",.,.,16.0,16.5,17.8
,,="Library/Media - Support Staff",="Non-Certified",.,.,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,4.5,5.5,4.0
,,="School Nurses",="Non-Certified",.,.,0.5,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,0.0,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,1.0,0.8,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,1.2,2.0,1.2
,="Learning Academy at Bloomfield",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,0.1,0.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
,,"Library/Media - Support Staff","Non-Certified",.,.,.,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,1.0,0.0
,,="School Nurses",="Non-Certified",.,.,.,1.0,0.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,1.0,0.2,.
"Bolton School District","Bolton Center School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,2.2,3.2,3.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,5.2,3.2,8.8,8.5
,,="General Education - Teachers and Instructors",="Certified",37.5,38.3,35.6,33.8,34.6
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.1,11.9,15.9,15.3,12.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,16.0,15.0,13.2,14.0
,,="Special Education - Teachers and Instructors",="Certified",4.5,4.5,4.3,4.8,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",4.0,3.5,4.0,4.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Bolton High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.9,3.3,2.6,3.3,3.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.4,0.4,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",26.0,25.8,25.7,25.2,27.2
,,="Library/Media - Support Staff",="Non-Certified",1.6,1.0,2.0,1.7,1.7
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.2,9.3,15.0,13.8,9.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.5,6.5,4.2,7.0
,,="Special Education - Teachers and Instructors",="Certified",2.6,2.6,3.6,3.0,4.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Bozrah School District",="Fields Memorial School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.8,0.8,0.9
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",18.0,17.5,18.5,19.0,19.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.2,9.2,9.4,9.2,9.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,8.0,10.0,8.5
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
="Branford School District",="Branford High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.3,6.4,6.6,6.6,7.1
,,="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,7.0,7.0,5.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5,0.5,1.0,1.0,0.0
,,="General Education - Teachers and Instructors",="Certified",74.9,73.7,83.6,79.7,73.1
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",34.9,34.5,35.3,35.0,36.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,11.0,15.0,18.0,20.0
,,="Special Education - Teachers and Instructors",="Certified",8.5,9.5,9.6,10.6,8.7
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,.
,"Francis Walsh Intermediate School","Administrators  Coordinators and Department Chairs - School Level","Certified",3.0,3.0,3.0,3.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,6.0,6.0,5.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,1.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",76.4,70.4,73.2,67.8,60.8
,,="Library/Media - Support Staff",="Non-Certified",1.5,1.5,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",19.0,19.0,18.0,18.0,18.0
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,22.0,21.0,20.0,27.0
,,="Special Education - Teachers and Instructors",="Certified",12.0,12.0,12.0,10.7,11.5
,,="Instructional Specialists Who Support Teachers",="Certified",1.4,1.0,1.4,1.5,1.0
,,="Library/Media - Specialists (Certified)",="Certified",2.5,2.0,2.6,2.0,2.0
,="Indian Neck School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8,0.8,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,0.2,0.2,0.2,.
,,"General Education - Teachers and Instructors","Certified",.,.,.,.,1.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.0,2.0
