"Overall Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Students Tuitioned Out",1565265,1978849,1973881,1788276,1355562
,="Other",449786,431031,467428,512388,522416
,="Total Expenditures",29623724,29363340,31339439,32525634,32935271
="Windsor School District",="Instructional Staff and Services",33037947,34250233,33666895,40404112,36244231
,="Instructional Supplies and Equipment",1261806,1330209,1006870,1741200,984632
,="Instruction and Educational Media Services",2381002,2437768,2667831,902918,2865867
,="Student Support Services",5191444,5103415,5059724,1947838,5013820
,="Administration and Support Services",7244461,7369469,6993479,6401027,7640364
,="Plant Operation and Maintenance",6191674,6130184,5844442,5123090,5165881
,="Transportation",4043937,4003854,4205202,4320978,4452793
,="Students Tuitioned Out",4325077,4651589,5533919,6042677,6441039
,="Other",569193,647536,636067,724061,642695
,="Total Expenditures",64246541,65924257,65614429,67607901,69451322
="Wolcott School District",="Instructional Staff and Services",21065606,20968069,20375015,20910713,21096780
,="Instructional Supplies and Equipment",574113,590253,625239,568470,646167
,="Instruction and Educational Media Services",527988,662073,643299,892146,718869
,="Student Support Services",1099313,1185056,1257144,1297473,1383667
,="Administration and Support Services",3250975,3364589,3472867,3439906,3781598
,="Plant Operation and Maintenance",3835784,3827007,4105300,3779958,3649192
,="Transportation",1876458,2029710,2129754,1989555,2060096
,="Students Tuitioned Out",964917,873047,891871,816410,1011331
,="Other",753326,726680,695394,721618,756652
,="Total Expenditures",33948480,34226484,34195883,34416249,35104352
="Woodbridge School District",="Instructional Staff and Services",7868991,8260404,8394566,8317043,8679380
,="Instructional Supplies and Equipment",504702,295336,354034,409090,313319
,="Instruction and Educational Media Services",64625,40823,73136,96280,71708
,="Student Support Services",154145,147841,153767,194118,185530
,="Administration and Support Services",1686118,1734873,1924437,2172416,2163893
,="Plant Operation and Maintenance",950200,1311292,1269936,1436467,982778
,="Transportation",535964,564499,539214,550289,567722
,="Students Tuitioned Out",222592,295202,276017,215148,275617
,="Other",0,0,0,0,0
,="Total Expenditures",11987337,12650270,12985107,13390851,13239947
="Woodstock School District",="Instructional Staff and Services",6630936,6908456,7091634,7090139,7100494
,="Instructional Supplies and Equipment",258285,200618,146095,287482,168338
,="Instruction and Educational Media Services",176656,174733,161434,171677,129340
,="Student Support Services",747122,747468,718503,579852,614702
,="Administration and Support Services",824405,891723,815592,916483,977945
,="Plant Operation and Maintenance",982811,1048457,1131866,1206322,1356609
,="Transportation",799747,947566,781647,1025670,986549
,="Students Tuitioned Out",496755,415689,374645,635620,512548
,="Other",56671,5065,15054,6949,19579
,="Total Expenditures",10973388,11339775,11236470,11920194,11866104

