"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Free Lunch",46.1,49.3,43.9,50.6,44.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Eligible For Free Lunch",3.0,"*",1.9,3.9,2.9
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Eligible For Free Lunch","*",14.1,14.8,12.9,12.3
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Eligible For Free Lunch","N/A","N/A",0.0,3.2,7.8
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Eligible For Free Lunch","*",4.9,4.1,4.6,4.1
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Eligible For Free Lunch",23.4,27.3,33.6,30.1,27.9
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Eligible For Free Lunch","*","*",27.2,25.8,24.5
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Eligible For Free Lunch",11.0,14.7,14.9,12.0,10.0
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Eligible For Free Lunch",62.8,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Eligible For Free Lunch",1.5,"*",1.8,"*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Eligible For Free Lunch",76.3,"*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Eligible For Free Lunch",3.4,"*",5.5,5.7,4.0
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","Eligible For Free Lunch","N/A","N/A",0.0,"N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Eligible For Free Lunch","*","*",15.0,14.7,15.1
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Eligible For Free Lunch","*",26.9,28.5,25.0,17.5
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Eligible For Free Lunch","*","*",26.4,19.7,22.1
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Eligible For Free Lunch",9.4,"*",6.8,4.8,4.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Free Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Not Eligible For Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Free Lunch",32.7,29.0,34.7,28.9,24.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Not Eligible For Lunch",8.4,4.8,5.8,6.8,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",15.1,18.9,11.8,17.2,"*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",33.3,30.6,32.9,25.9,24.3
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",10.6,9.6,8.0,7.1,5.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",24.5,15.5,15.9,17.6,16.2
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Eligible For Free Lunch","N/A","N/A","N/A",50.0,52.5
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Eligible For Free Lunch","N/A","N/A","N/A","*","N/A"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Eligible For Free Lunch",21.8,14.7,21.5,21.3,19.0
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Not Eligible For Lunch","*","*","*","*",3.8
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Eligible For Reduced Lunch",0.0,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Eligible For Free Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Not Eligible For Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Eligible For Reduced Lunch","*","*","*","N/A","N/A"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Eligible For Free Lunch",19.0,20.2,19.4,18.9,5.2
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Not Eligible For Lunch",3.7,"*","*","*",0.0
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Eligible For Free Lunch",15.1,13.8,10.2,10.6,7.7
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Not Eligible For Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Eligible For Free Lunch",8.7,15.1,15.1,10.8,13.3
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Not Eligible For Lunch","*",2.8,4.5,"*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Eligible For Reduced Lunch","*",9.7,0.0,"*","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Eligible For Free Lunch","*","*","*",10.9,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Not Eligible For Lunch","*",4.2,"*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Not Eligible For Lunch",3.4,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Eligible For Free Lunch",16.0,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Eligible For Free Lunch","*",13.0,11.8,"*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Not Eligible For Lunch",4.2,"*","*","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Eligible For Free Lunch",20.6,9.2,16.9,12.2,6.3
